Rhat range:			 0.999 1.272
Iterations:			 1000
Elapsed min:			 5.149
Iters/minute:			 194.228
n_eff (samp):			 5.616 1500
n_eff/minutes:			 1.091 291.341

Parms:
            mean se_mean    sd   2.5%    25%    50%    75%  97.5%    n_eff  Rhat
beta[1]   -0.765   0.007 0.046 -0.854 -0.797 -0.767 -0.733 -0.674   38.728 1.079
beta[2]   -0.026   0.000 0.001 -0.027 -0.026 -0.026 -0.025 -0.024 1500.000 0.999
gamma[1]  -0.328   0.009 0.057 -0.443 -0.363 -0.330 -0.286 -0.222   38.619 1.085
gamma[2]  -0.641   0.011 0.059 -0.744 -0.687 -0.640 -0.600 -0.526   27.232 1.097
gamma[3]  -0.844   0.011 0.060 -0.964 -0.884 -0.843 -0.804 -0.733   29.396 1.161
gamma[4]  -0.963   0.009 0.054 -1.068 -1.001 -0.962 -0.923 -0.859   38.555 1.057
gamma[5]  -1.010   0.011 0.057 -1.124 -1.047 -1.009 -0.972 -0.897   25.349 1.134
gamma[6]  -0.987   0.010 0.062 -1.103 -1.027 -0.989 -0.946 -0.863   38.365 1.118
gamma[7]  -0.933   0.009 0.057 -1.051 -0.969 -0.929 -0.898 -0.821   39.778 1.109
gamma[8]  -0.824   0.013 0.053 -0.919 -0.863 -0.828 -0.788 -0.720   15.965 1.272
gamma[9]  -0.607   0.011 0.063 -0.743 -0.645 -0.606 -0.572 -0.472   33.154 1.130
gamma[10] -0.097   0.004 0.027 -0.152 -0.115 -0.098 -0.078 -0.043   36.824 1.065
gamma[11]  0.845   0.004 0.029  0.781  0.826  0.848  0.864  0.896   50.901 1.074
gamma[12] -0.734   0.005 0.036 -0.804 -0.757 -0.734 -0.710 -0.669   49.587 1.087
gamma[13] -0.065   0.004 0.033 -0.120 -0.090 -0.068 -0.044  0.002   73.817 1.051
gamma[14] -0.620   0.005 0.031 -0.679 -0.641 -0.620 -0.598 -0.558   41.096 1.073
gamma[15]  0.066   0.003 0.024  0.020  0.050  0.065  0.083  0.115   87.533 1.024
zi         0.232   0.001 0.010  0.214  0.226  0.232  0.239  0.254  107.770 1.034
sig        0.124   0.000 0.002  0.121  0.123  0.124  0.126  0.128 1131.159 1.000
