Rhat range:			 0.998 1.213
Iterations:			 1000
Elapsed min:			 4.062
Iters/minute:			 246.181
n_eff (samp):			 11.379 1500
n_eff/minutes:			 2.801 369.272

Parms:
            mean se_mean    sd   2.5%    25%    50%    75%  97.5%    n_eff  Rhat
beta[1]   -0.773   0.009 0.051 -0.870 -0.808 -0.769 -0.737 -0.672   32.571 1.154
beta[2]   -0.026   0.000 0.001 -0.027 -0.026 -0.026 -0.025 -0.024 1500.000 1.000
gamma[1]  -0.307   0.007 0.053 -0.423 -0.341 -0.303 -0.271 -0.212   65.213 1.035
gamma[2]  -0.636   0.009 0.059 -0.756 -0.677 -0.636 -0.595 -0.522   42.800 1.123
gamma[3]  -0.832   0.010 0.056 -0.934 -0.871 -0.832 -0.795 -0.718   34.838 1.085
gamma[4]  -0.952   0.008 0.058 -1.071 -0.991 -0.949 -0.911 -0.847   52.292 1.080
gamma[5]  -0.986   0.010 0.057 -1.105 -1.023 -0.985 -0.943 -0.879   31.448 1.117
gamma[6]  -0.978   0.018 0.061 -1.088 -1.022 -0.978 -0.935 -0.856   11.379 1.141
gamma[7]  -0.918   0.008 0.052 -1.023 -0.953 -0.916 -0.880 -0.823   45.497 1.056
gamma[8]  -0.810   0.009 0.062 -0.934 -0.853 -0.812 -0.770 -0.695   45.988 1.067
gamma[9]  -0.608   0.011 0.061 -0.736 -0.647 -0.606 -0.571 -0.486   32.549 1.156
gamma[10] -0.093   0.006 0.028 -0.146 -0.111 -0.095 -0.075 -0.036   23.556 1.188
gamma[11]  0.837   0.004 0.026  0.789  0.820  0.837  0.855  0.888   37.511 1.090
gamma[12] -0.737   0.005 0.036 -0.806 -0.763 -0.740 -0.711 -0.662   54.595 1.063
gamma[13] -0.072   0.006 0.037 -0.141 -0.097 -0.074 -0.044 -0.003   41.562 1.028
gamma[14] -0.618   0.007 0.040 -0.700 -0.642 -0.618 -0.594 -0.538   34.926 1.172
gamma[15]  0.068   0.004 0.028  0.020  0.047  0.066  0.087  0.125   44.297 1.066
zi         0.230   0.001 0.009  0.213  0.224  0.230  0.236  0.247   84.551 1.048
sig        0.124   0.000 0.002  0.121  0.123  0.124  0.126  0.128 1153.520 1.000
