Rhat range:			 0.998 1.146
Iterations:			 1000
Elapsed min:			 5.792
Iters/minute:			 172.657
n_eff (samp):			 23.985 1500
n_eff/minutes:			 4.141 258.985

Parms:
            mean se_mean    sd   2.5%    25%    50%    75%  97.5%    n_eff  Rhat
beta[1]   -0.774   0.006 0.052 -0.872 -0.810 -0.771 -0.737 -0.677   81.912 1.013
beta[2]   -0.026   0.000 0.001 -0.027 -0.026 -0.026 -0.025 -0.024 1414.709 1.000
gamma[1]  -0.330   0.006 0.052 -0.434 -0.367 -0.328 -0.293 -0.233   67.343 1.034
gamma[2]  -0.642   0.008 0.059 -0.767 -0.682 -0.638 -0.600 -0.536   59.818 1.021
gamma[3]  -0.839   0.006 0.057 -0.948 -0.878 -0.838 -0.800 -0.719   80.384 1.030
gamma[4]  -0.951   0.006 0.054 -1.059 -0.985 -0.947 -0.915 -0.856   81.754 1.004
gamma[5]  -1.005   0.007 0.058 -1.112 -1.046 -1.007 -0.965 -0.885   71.104 1.022
gamma[6]  -0.978   0.009 0.055 -1.082 -1.014 -0.980 -0.942 -0.866   33.938 1.059
gamma[7]  -0.927   0.006 0.055 -1.026 -0.966 -0.931 -0.889 -0.811   80.165 1.017
gamma[8]  -0.819   0.008 0.064 -0.936 -0.863 -0.821 -0.777 -0.694   59.288 1.025
gamma[9]  -0.600   0.007 0.056 -0.713 -0.637 -0.599 -0.563 -0.491   61.531 1.009
gamma[10] -0.101   0.004 0.030 -0.159 -0.121 -0.100 -0.079 -0.046   45.021 1.146
gamma[11]  0.846   0.005 0.028  0.792  0.827  0.846  0.866  0.901   33.817 1.122
gamma[12] -0.730   0.004 0.038 -0.803 -0.755 -0.733 -0.705 -0.653   75.256 1.022
gamma[13] -0.069   0.005 0.038 -0.145 -0.094 -0.068 -0.043  0.007   54.876 1.022
gamma[14] -0.615   0.004 0.033 -0.684 -0.637 -0.614 -0.593 -0.548   84.866 1.047
gamma[15]  0.075   0.002 0.023  0.031  0.060  0.074  0.090  0.124   96.573 1.018
zi         0.233   0.001 0.010  0.215  0.226  0.232  0.239  0.253   80.642 1.038
sig        0.124   0.000 0.002  0.121  0.123  0.125  0.126  0.128  762.831 1.003
