Rhat range:			 0.999 1.204
Iterations:			 1000
Elapsed min:			 5.154
Iters/minute:			 194.02
n_eff (samp):			 7.716 1500
n_eff/minutes:			 1.497 291.03

Parms:
            mean se_mean    sd   2.5%    25%    50%    75%  97.5%    n_eff  Rhat
beta[1]   -0.771   0.006 0.045 -0.859 -0.803 -0.771 -0.741 -0.679   57.039 1.012
beta[2]   -0.026   0.000 0.001 -0.027 -0.026 -0.026 -0.025 -0.024 1410.451 0.999
gamma[1]  -0.318   0.008 0.057 -0.425 -0.359 -0.322 -0.282 -0.201   47.835 1.044
gamma[2]  -0.637   0.006 0.051 -0.738 -0.669 -0.637 -0.602 -0.538   70.413 1.037
gamma[3]  -0.838   0.009 0.053 -0.950 -0.871 -0.835 -0.804 -0.743   36.259 1.089
gamma[4]  -0.968   0.008 0.058 -1.087 -1.006 -0.965 -0.929 -0.862   53.615 1.072
gamma[5]  -0.993   0.008 0.056 -1.097 -1.032 -0.998 -0.953 -0.883   47.713 1.056
gamma[6]  -0.968   0.007 0.055 -1.071 -1.009 -0.970 -0.929 -0.863   65.072 1.028
gamma[7]  -0.924   0.006 0.052 -1.024 -0.961 -0.923 -0.889 -0.817   68.270 1.017
gamma[8]  -0.827   0.007 0.055 -0.937 -0.866 -0.828 -0.784 -0.726   64.024 1.005
gamma[9]  -0.613   0.020 0.063 -0.734 -0.660 -0.605 -0.567 -0.495   10.253 1.148
gamma[10] -0.107   0.003 0.025 -0.158 -0.124 -0.107 -0.089 -0.062   70.205 1.035
gamma[11]  0.848   0.004 0.026  0.796  0.833  0.847  0.865  0.903   52.336 1.098
gamma[12] -0.732   0.004 0.034 -0.804 -0.753 -0.732 -0.710 -0.669   59.571 1.074
gamma[13] -0.058   0.005 0.036 -0.128 -0.084 -0.058 -0.033  0.010   58.684 1.046
gamma[14] -0.614   0.007 0.037 -0.687 -0.638 -0.614 -0.589 -0.543   24.582 1.072
gamma[15]  0.067   0.003 0.024  0.020  0.050  0.068  0.083  0.116   71.192 1.028
zi         0.231   0.001 0.010  0.213  0.225  0.231  0.238  0.250   45.987 1.064
sig        0.124   0.000 0.002  0.121  0.123  0.124  0.125  0.128  765.248 1.000
