Rhat range:			 0.998 1.181
Iterations:			 1000
Elapsed min:			 5.159
Iters/minute:			 193.832
n_eff (samp):			 6.748 1500
n_eff/minutes:			 1.308 290.748

Parms:
            mean se_mean    sd   2.5%    25%    50%    75%  97.5%    n_eff  Rhat
beta[1]   -0.747   0.018 0.054 -0.859 -0.783 -0.747 -0.709 -0.638    8.967 1.136
beta[2]   -0.026   0.000 0.001 -0.027 -0.026 -0.026 -0.025 -0.024 1500.000 1.001
gamma[1]  -0.348   0.009 0.059 -0.473 -0.387 -0.347 -0.306 -0.242   46.629 1.075
gamma[2]  -0.664   0.019 0.058 -0.775 -0.706 -0.662 -0.624 -0.556    9.187 1.140
gamma[3]  -0.855   0.009 0.060 -0.971 -0.897 -0.854 -0.814 -0.739   46.567 1.067
gamma[4]  -0.975   0.010 0.059 -1.085 -1.018 -0.974 -0.937 -0.861   33.986 1.065
gamma[5]  -1.000   0.022 0.061 -1.123 -1.040 -1.001 -0.959 -0.878    8.029 1.117
gamma[6]  -0.993   0.008 0.060 -1.113 -1.031 -0.993 -0.953 -0.877   63.238 1.011
gamma[7]  -0.940   0.008 0.053 -1.048 -0.975 -0.938 -0.902 -0.839   47.279 1.032
gamma[8]  -0.842   0.008 0.057 -0.954 -0.883 -0.840 -0.803 -0.735   46.140 1.074
gamma[9]  -0.632   0.007 0.054 -0.736 -0.668 -0.631 -0.599 -0.529   59.749 1.044
gamma[10] -0.104   0.008 0.027 -0.161 -0.122 -0.102 -0.086 -0.052   11.609 1.109
gamma[11]  0.842   0.003 0.025  0.793  0.824  0.844  0.859  0.891   70.700 1.041
gamma[12] -0.728   0.005 0.035 -0.800 -0.750 -0.727 -0.706 -0.663   51.525 1.062
gamma[13] -0.067   0.005 0.037 -0.139 -0.091 -0.068 -0.043  0.011   68.374 1.032
gamma[14] -0.615   0.005 0.038 -0.684 -0.641 -0.614 -0.590 -0.536   58.044 1.041
gamma[15]  0.062   0.004 0.030  0.002  0.043  0.062  0.081  0.129   45.961 1.042
zi         0.230   0.001 0.009  0.213  0.223  0.230  0.236  0.248   77.470 1.042
sig        0.124   0.000 0.002  0.121  0.123  0.124  0.126  0.128 1300.528 1.000
