Rhat range:			 0.994 1.188
Iterations:			 250
Elapsed min:			 7.458
Iters/minute:			 33.521
n_eff (samp):			 8.016 375
n_eff/minutes:			 1.075 50.281

Parms:
            mean se_mean    sd   2.5%    25%    50%    75%  97.5%   n_eff  Rhat
beta[1]   -0.766   0.007 0.044 -0.868 -0.792 -0.761 -0.736 -0.689  43.579 1.054
beta[2]   -0.025   0.000 0.001 -0.027 -0.026 -0.025 -0.025 -0.024 375.000 0.999
gamma[1]  -0.330   0.010 0.059 -0.440 -0.372 -0.327 -0.291 -0.217  32.895 1.047
gamma[2]  -0.633   0.009 0.052 -0.730 -0.667 -0.635 -0.602 -0.519  36.223 1.080
gamma[3]  -0.835   0.009 0.054 -0.925 -0.874 -0.841 -0.798 -0.728  35.854 1.050
gamma[4]  -0.953   0.007 0.048 -1.042 -0.979 -0.958 -0.927 -0.846  41.773 1.029
gamma[5]  -0.995   0.010 0.055 -1.096 -1.037 -0.996 -0.957 -0.890  31.912 1.084
gamma[6]  -0.984   0.009 0.055 -1.092 -1.023 -0.981 -0.949 -0.880  35.871 1.014
gamma[7]  -0.924   0.009 0.052 -1.025 -0.955 -0.922 -0.893 -0.830  30.518 1.106
gamma[8]  -0.826   0.022 0.064 -0.945 -0.869 -0.831 -0.788 -0.677   8.419 1.177
gamma[9]  -0.600   0.007 0.050 -0.704 -0.631 -0.601 -0.567 -0.509  45.827 1.039
gamma[10] -0.098   0.004 0.025 -0.143 -0.115 -0.097 -0.081 -0.053  34.249 1.104
gamma[11]  0.840   0.006 0.030  0.779  0.818  0.841  0.861  0.895  26.554 1.129
gamma[12] -0.747   0.006 0.037 -0.820 -0.773 -0.742 -0.720 -0.682  32.896 1.015
gamma[13] -0.063   0.007 0.036 -0.134 -0.087 -0.063 -0.036  0.003  24.710 1.087
gamma[14] -0.626   0.004 0.031 -0.691 -0.645 -0.627 -0.605 -0.568  50.176 1.033
gamma[15]  0.070   0.003 0.023  0.030  0.053  0.069  0.085  0.115  45.627 1.012
zi         0.229   0.001 0.009  0.212  0.222  0.228  0.235  0.247  63.026 1.008
sig        0.124   0.000 0.002  0.122  0.123  0.124  0.125  0.128 290.125 1.003
