Rhat range:			 1 1.028
Iterations:			 5000
Elapsed min:			 11.063
Iters/minute:			 451.939
n_eff (samp):			 113.033 7500
n_eff/minutes:			 10.217 677.908

Parms:
            mean se_mean    sd   2.5%    25%    50%    75%  97.5%    n_eff  Rhat
beta[1]   -0.766   0.003 0.050 -0.864 -0.798 -0.765 -0.735 -0.665  251.994 1.011
beta[2]   -0.025   0.000 0.001 -0.027 -0.026 -0.025 -0.025 -0.024 7500.000 1.000
gamma[1]  -0.330   0.004 0.060 -0.444 -0.370 -0.331 -0.291 -0.209  257.552 1.004
gamma[2]  -0.640   0.003 0.055 -0.740 -0.679 -0.640 -0.602 -0.532  256.177 1.007
gamma[3]  -0.835   0.004 0.057 -0.948 -0.872 -0.835 -0.797 -0.721  228.134 1.012
gamma[4]  -0.962   0.003 0.058 -1.076 -1.002 -0.961 -0.923 -0.849  283.587 1.018
gamma[5]  -1.004   0.004 0.059 -1.118 -1.043 -1.004 -0.966 -0.887  250.715 1.004
gamma[6]  -0.985   0.003 0.053 -1.085 -1.020 -0.985 -0.950 -0.878  335.746 1.006
gamma[7]  -0.922   0.004 0.059 -1.035 -0.961 -0.923 -0.883 -0.804  214.049 1.005
gamma[8]  -0.824   0.004 0.055 -0.935 -0.861 -0.823 -0.787 -0.716  248.658 1.012
gamma[9]  -0.614   0.004 0.057 -0.726 -0.652 -0.615 -0.578 -0.496  250.481 1.012
gamma[10] -0.097   0.002 0.027 -0.149 -0.117 -0.098 -0.079 -0.045  214.699 1.010
gamma[11]  0.845   0.002 0.026  0.794  0.826  0.845  0.863  0.895  252.882 1.020
gamma[12] -0.732   0.002 0.036 -0.804 -0.756 -0.732 -0.709 -0.663  268.386 1.016
gamma[13] -0.071   0.003 0.036 -0.141 -0.094 -0.071 -0.047  0.001  180.080 1.021
gamma[14] -0.616   0.002 0.034 -0.685 -0.640 -0.616 -0.593 -0.549  223.648 1.019
gamma[15]  0.068   0.002 0.027  0.012  0.050  0.068  0.086  0.120  231.605 1.012
zi         0.231   0.000 0.009  0.214  0.224  0.231  0.237  0.250  556.107 1.004
sig        0.124   0.000 0.002  0.121  0.123  0.124  0.126  0.128 3473.729 1.001
