"","yrrac","yrrdc","Intercept","a45","a50","a55","a60","a65","a70","a75","a80","a85","Years","Female","Complex","Home","Ltcare","Oplace","Black","a"
"1",-0.677660393649889,-0.783113600859431,1,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,1
"2",-0.670674324707887,-0.800218560621401,1,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,1
"3",-0.865537410501074,-1.08681506179607,1,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,1
"4",-1.13713557066445,-1.50537761799703,1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,1
"5",-1.20706248887179,-1.61728108989513,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1
"6",-1.35718230761313,-1.7421877497238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",-1.04914088892618,-1.27304319218826,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"8",-1.07159366658195,-1.32236479158949,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"9",-1.14020144855012,-1.38629436111989,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
"10",-1.09063776474934,-1.34290298306971,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
"11",-1.3258181339912,-1.92698452740344,1,0,0,0,0,0,0,0,0,0,-5,1,0,0,0,0,0,1
"12",-1.25841733832556,-1.73834323666984,1,0,0,0,0,0,0,0,0,0,-4,1,0,0,0,0,0,1
"13",-1.3368396405174,-1.89440311925196,1,0,0,0,0,0,0,0,0,0,-3,1,0,0,0,0,0,1
"14",-1.33694051352064,-1.93524338125112,1,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,1
"15",-1.38811221292026,-2.06724626858602,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1
"16",-1.5192868154398,-1.99635366163113,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"17",-1.30031550874445,-1.76823748734806,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"18",-1.28464972797126,-1.74065480070167,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
"19",-1.36430057997843,-1.80463913209172,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1
"20",-1.24288057740469,-1.65705643030664,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1
"21",-0.146510325293294,0.00858374369139144,1,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,1,1
"22",-0.0792174548930507,0.0557851827663232,1,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,1,1
"23",-0.0674722477383236,0.0425596144187959,1,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,1,1
"24",-0.51228975287088,-0.557686320084177,1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,1
"25",-0.587055403443573,-0.69815972238349,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1
"26",-0.746381036881805,-0.869097804453852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"27",-0.388079798767478,-0.425035204302262,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"28",-0.446667982465437,-0.470003629245736,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
"29",-0.456837670063431,-0.475764315509171,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
